Nippon Light Metal Company Limited,Novelis Inc.
Nippon Light Metal Company Limited,Honda Motor Co. Ltd.
Novelis Inc.,Honda Motor Co. Ltd.
Honda Motor Co. Ltd.,Takata Corporation
Honda Motor Co. Ltd.,Nifco Inc.
Honda Motor Co. Ltd.,Keihin Corporation
Honda Motor Co. Ltd.,Illinois Tool Works Inc.
Honda Motor Co. Ltd.,Tokai Rubber Industries Ltd.
Honda Motor Co. Ltd.,Honda Access Corp.
Honda Motor Co. Ltd.,NSK LTD.
Honda Motor Co. Ltd.,Saga Tekkohsho Co. Ltd.
Honda Motor Co. Ltd.,Nissin Kogyo Co. Ltd.
Honda Motor Co. Ltd.,Bridgestone Corporation
Honda Motor Co. Ltd.,Gentest Corporation
Honda Motor Co. Ltd.,Denso Corporation
Toyota Jidosha Kabushiki Kaisha,MEC International Co. Ltd.
Toyota Jidosha Kabushiki Kaisha,Fuji Jukogyo Kabushiki Kaisha
Toyota Jidosha Kabushiki Kaisha,Toyo Tire & Rubber Co. Ltd.
Toyota Jidosha Kabushiki Kaisha,Toyoda Gosei Co. Ltd.
Toyota Jidosha Kabushiki Kaisha,Yamaha Hatsudoki Kabushiki Kaisha
Toyota Jidosha Kabushiki Kaisha,Toyota Motor East Japan Inc.
Toyota Jidosha Kabushiki Kaisha,Nippon Soken Inc.
Toyota Jidosha Kabushiki Kaisha,Fuji Kiko Co. Ltd.
Toyota Jidosha Kabushiki Kaisha,Aisin AW Co. Ltd.
Toyota Jidosha Kabushiki Kaisha,AISIN SEIKI KABUSHIKI KAISHA
Toyota Jidosha Kabushiki Kaisha,Taiho Kogyo Ltd.
Toyota Jidosha Kabushiki Kaisha,JTEKT Corporation
Toyota Jidosha Kabushiki Kaisha,Tokai Rubber Industries Ltd.
Toyota Jidosha Kabushiki Kaisha,Mitsui High-Tec Inc.
Nippon Soken Inc.,Denso Corporation
Fuji Kiko Co. Ltd.,JTEKT Corporation
Aisin AW Co. Ltd.,AISIN SEIKI KABUSHIKI KAISHA
AISIN SEIKI KABUSHIKI KAISHA,Aisin Keikinzoku Kabushiki Kaisha
AISIN SEIKI KABUSHIKI KAISHA,Konami Co. Ltd.
JTEKT Corporation,Toyooki Kogyo Co. Ltd.
Hitachi Metals Ltd.,Denso Corporation
Denso Corporation,Advics Co. Ltd.
Denso Corporation,DENSO International America Inc.
Denso Corporation,Kyosan Denki Co. Ltd. 
